Subject,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A04,2,0.496,0.996,0.18759002617996634,0.1473809643146054,0.22612143731933843,0.22503896292855627,0.26385757208458854
A04,3,0.744,1.244,0.18209566172743377,0.146772368941902,0.21949032185260245,0.21878847435612267,0.2622915855082803
A04,4,0.992,1.492,0.17410964177695373,0.1502365099232582,0.20398440275493684,0.20730807729275263,0.27249161926753457
A04,5,1.24,1.74,0.17993050552064735,0.1464823582215873,0.20704060659168694,0.21493871433627584,0.28897156119738654
A04,6,1.488,1.988,0.190348303604143,0.14361225024829488,0.22763423629452245,0.2437717547833534,0.2976077870427281
A04,7,1.736,2.236,0.1871648110230125,0.15189170136914776,0.22633063078084242,0.23244210066402943,0.27831300931032077
A04,8,1.984,2.484,0.17512030074016596,0.16136926828939963,0.21689172611947455,0.20913091265426637,0.24296878855543713
A04,9,2.232,2.732,0.16510531923805907,0.15642985816336188,0.1951947158249155,0.21713977734528908,0.24957750162165415
A04,10,2.48,2.98,0.1935109686333087,0.16231479637895382,0.2183774778042587,0.23449150391158535,0.2925733036975592
A04,11,2.728,3.228,0.20342866794657183,0.1609766818018845,0.23617833110966932,0.2449389723746504,0.29506092008036217
A04,12,2.976,3.476,0.19922508750658335,0.15002839248420444,0.2471111900999453,0.24015242997470237,0.3036525326472817
A04,13,3.224,3.724,0.19859008634296837,0.15662229577336859,0.25263352900207375,0.22447719636238608,0.28159976115049956
A04,14,3.472,3.972,0.20151757841836035,0.17089247658255557,0.2507188267798189,0.22465668553030466,0.2647683289673626
A05,0,0.0,0.5,0.35404370373819744,0.28587364678710425,0.3541476155975511,0.44425635306946415,0.35430450592527485
A05,1,0.248,0.748,0.38645791305067234,0.2785469235945967,0.42083922031569604,0.527209379820902,0.43098181743436464
A05,2,0.496,0.996,0.4100385304846174,0.2588779275111936,0.4107615334077863,0.5511526780399673,0.47618757794040273
A05,3,0.744,1.244,0.4029185634802545,0.24381906575763543,0.4094595298455824,0.5373738096799685,0.48432025217956864
A05,4,0.992,1.492,0.3972184130619333,0.22577564482866996,0.40530824216299044,0.5454742890679687,0.4711423211270364
A05,5,1.24,1.74,0.3914319305809455,0.20787780538576053,0.40914556085446513,0.5448118024090913,0.4623268378502288
A05,6,1.488,1.988,0.38304459216091236,0.18845937047582412,0.42645990899288355,0.5420901325614194,0.45077043249153775
A05,7,1.736,2.236,0.3213153066481834,0.1479534875023464,0.37190499500766727,0.4842275972165082,0.3838102753111247
A05,8,1.984,2.484,0.2828386190666926,0.12806133538810183,0.349243628459908,0.4958997514146718,0.36903384847110493
A05,9,2.232,2.732,0.32176900362372207,0.14958114573081982,0.35567393299069006,0.5531345337959079,0.4471956613419506
A05,10,2.48,2.98,0.3761174974614743,0.2090392254684804,0.36453951167234844,0.5279593215461726,0.46534530040942707
A05,11,2.728,3.228,0.37384159901058567,0.20841876481597027,0.38900156532967944,0.5203901095247591,0.4479268493053394
A05,12,2.976,3.476,0.38123750802343903,0.2003822807703385,0.40836292568828286,0.5324911277108669,0.4525537231646608
A05,13,3.224,3.724,0.37108524187691194,0.18969035117366567,0.39647116110219277,0.5449015485264042,0.44715721265909325
A05,14,3.472,3.972,0.37494276611228444,0.1924030896951479,0.38852281972216113,0.5451114445089292,0.4369772531965079
A06,0,0.0,0.5,0.26539623746626995,0.32576633055107146,0.2955668389952368,0.2249315865834472,0.23726794023178596
A06,1,0.248,0.748,0.2515501194377438,0.2882400483981331,0.260093878754837,0.2517521664166746,0.2783404568814896
A06,2,0.496,0.996,0.2533838477782499,0.26821107000453775,0.27288868507903496,0.27615611882710184,0.34335208664823746
A06,3,0.744,1.244,0.25081841985646725,0.26804113592937734,0.2681078254540169,0.27799525290833565,0.3349014340452833
A06,4,0.992,1.492,0.2463615585719472,0.28675516602629364,0.2817310456602677,0.24764927433526354,0.31970297993720076
A06,5,1.24,1.74,0.253895464062076,0.28129837176387074,0.28784165588100924,0.2500471609041506,0.3080469800411358
A06,6,1.488,1.988,0.26126460425257914,0.2903334930476717,0.277622795680669,0.2785207589816987,0.30740449912516177
A06,7,1.736,2.236,0.25644329840519486,0.29917932792576024,0.26968971224196275,0.27070346485197,0.29622513873975603
