Subject,Band,Channel,R2,R2_percent
A07,Gamma,C1,0.07325043147037102,7.3250431470371025
A07,Gamma,Cz,0.07156362094162916,7.156362094162915
A07,Gamma,C2,0.1168292694496198,11.68292694496198
A07,Gamma,C4,0.1634396403030367,16.34396403030367
A07,Gamma,C6,0.19485957470487292,19.485957470487293
A08,Delta,C5,0.5637472082484789,56.37472082484789
A08,Delta,C3,0.5079998399750096,50.799983997500966
A08,Delta,C1,0.4725975119638465,47.25975119638465
A08,Delta,Cz,0.4645556372813362,46.45556372813362
A08,Delta,C2,0.5728040766248946,57.280407662489466
A08,Delta,C4,0.6863997365904588,68.63997365904588
A08,Delta,C6,0.7720551749041429,77.2055174904143
A08,Theta,C5,0.3546810884906392,35.46810884906392
A08,Theta,C3,0.3172630284518253,31.72630284518253
A08,Theta,C1,0.2867023707356353,28.67023707356353
A08,Theta,Cz,0.265419239567926,26.5419239567926
A08,Theta,C2,0.32485859644718207,32.485859644718204
A08,Theta,C4,0.39523912309565434,39.52391230956543
A08,Theta,C6,0.4690721942756074,46.90721942756074
A08,Alpha_Mu,C5,0.3577603682535375,35.77603682535375
A08,Alpha_Mu,C3,0.47321303480766064,47.32130348076606
A08,Alpha_Mu,C1,0.5864808603928684,58.64808603928684
A08,Alpha_Mu,Cz,0.6074042611619019,60.74042611619019
A08,Alpha_Mu,C2,0.6153256361899744,61.532563618997436
A08,Alpha_Mu,C4,0.5656008606795944,56.56008606795944
A08,Alpha_Mu,C6,0.5662309102218466,56.62309102218466
A08,Beta,C5,0.6164433482247644,61.644334822476445
A08,Beta,C3,0.5778452268705268,57.78452268705267
A08,Beta,C1,0.5635565474104804,56.35565474104804
A08,Beta,Cz,0.5516906196389584,55.169061963895835
A08,Beta,C2,0.5939701922180978,59.39701922180978
A08,Beta,C4,0.6271600487769942,62.71600487769942
A08,Beta,C6,0.6798232627257189,67.9823262725719
A08,Gamma,C5,0.7562575573643445,75.62575573643446
A08,Gamma,C3,0.7593125496705626,75.93125496705626
A08,Gamma,C1,0.7444439470277281,74.44439470277281
A08,Gamma,Cz,0.7263289403043325,72.63289403043325
A08,Gamma,C2,0.7534696603043461,75.34696603043461
A08,Gamma,C4,0.7775672421573452,77.75672421573452
A08,Gamma,C6,0.7908574919218674,79.08574919218674
A09,Delta,C5,0.4432379904156183,44.32379904156183
A09,Delta,C3,0.32714761970467465,32.714761970467464
A09,Delta,C1,0.26640154083804235,26.640154083804234
A09,Delta,Cz,0.22509457948314537,22.509457948314537
A09,Delta,C2,0.282743306169554,28.2743306169554
A09,Delta,C4,0.3374512142387003,33.74512142387003
A09,Delta,C6,0.4209387121681397,42.09387121681397
A09,Theta,C5,0.25281276990620294,25.281276990620295
A09,Theta,C3,0.20389118874481627,20.389118874481625
A09,Theta,C1,0.20147539265810532,20.147539265810533
A09,Theta,Cz,0.195173030236092,19.5173030236092
A09,Theta,C2,0.2578952263807712,25.789522638077123
A09,Theta,C4,0.31599108581746915,31.599108581746915
A09,Theta,C6,0.41700279989651245,41.70027998965124
A09,Alpha_Mu,C5,0.14955219634146333,14.955219634146333
A09,Alpha_Mu,C3,0.10837230888212956,10.837230888212957
A09,Alpha_Mu,C1,0.25802431885515686,25.802431885515688
A09,Alpha_Mu,Cz,0.3759667080191007,37.59667080191007
