Subject,Class_ID,Class,Channel,Band,Baseline_Start_s,Baseline_End_s,MI_Start_s,MI_End_s,N_Class_Trials,Raw_Baseline_Power,Raw_MI_Power,Clean_Baseline_Power,Clean_MI_Power,Raw_ERD_ERS_Percent,Clean_ERD_ERS_Percent,Delta_ERD_ERS_Percent,Delta_Accuracy,Delta_F1
A05,2,Right_Hand,Cz,Mu,0.0,2.0,3.25,4.0,65,5.036006301186182,3.4327405880454034,2.915150746729121,2.4030678079860435,-31.836054549074465,-17.566259285818163,14.269795263256302,0.0217391304347825,0.0625057563718594
A05,2,Right_Hand,Cz,Beta,0.0,2.0,3.25,4.0,65,32.84475610854448,32.373579556056434,13.83702551977355,12.944268569846749,-1.4345564050800077,-6.451942642231584,-5.017386237151577,0.0217391304347825,0.0625057563718594
A05,2,Right_Hand,C4,Mu,0.0,2.0,3.25,4.0,65,4.690372459350998,3.0312016498382164,2.421431212499582,1.847661346085263,-35.37396707599647,-23.69548486251626,11.678482213480208,0.0217391304347825,0.0625057563718594
A05,2,Right_Hand,C4,Beta,0.0,2.0,3.25,4.0,65,31.28071525360205,31.992287210375967,11.928284431758192,11.587563632937204,2.274794393302598,-2.856410750181442,-5.13120514348404,0.0217391304347825,0.0625057563718594
A05,3,Feet,C3,Mu,0.0,2.0,3.25,4.0,72,4.563146686358469,2.5554233861681817,2.9256777400739296,1.681821226935346,-43.99865790402789,-42.51515797863394,1.4834999253939571,0.0217391304347825,0.0625057563718594
A05,3,Feet,C3,Beta,0.0,2.0,3.25,4.0,72,31.15272931804259,30.71774795303321,13.784742298976392,13.337893738444835,-1.3962865358234848,-3.2416170780697544,-1.8453305422462696,0.0217391304347825,0.0625057563718594
A05,3,Feet,Cz,Mu,0.0,2.0,3.25,4.0,72,5.702807553477555,3.176077549741206,3.538512869655224,1.984001964444495,-44.306773112045725,-43.93119263578526,0.3755804762604668,0.0217391304347825,0.0625057563718594
A05,3,Feet,Cz,Beta,0.0,2.0,3.25,4.0,72,32.363593430619964,32.13603929596903,13.605541729924548,13.151971619299044,-0.7031176409342594,-3.3337159197995887,-2.630598278865329,0.0217391304347825,0.0625057563718594
A05,3,Feet,C4,Mu,0.0,2.0,3.25,4.0,72,5.347346366213007,3.0893464478969133,2.989764059620008,1.717726452409725,-42.2265505855905,-42.54642111697369,-0.319870531383188,0.0217391304347825,0.0625057563718594
A05,3,Feet,C4,Beta,0.0,2.0,3.25,4.0,72,30.72834545326683,30.8974284712971,11.650722524473055,11.525119478309144,0.5502509670994664,-1.0780708741459084,-1.6283218412453748,0.0217391304347825,0.0625057563718594
A05,4,Tongue,C3,Mu,0.0,2.0,3.25,4.0,69,3.928319262150775,3.760602301977381,2.3942155973159087,2.7358754461974333,-4.269433031813332,14.270220662851232,18.539653694664565,0.0217391304347825,0.0625057563718594
A05,4,Tongue,C3,Beta,0.0,2.0,3.25,4.0,69,30.94256916365756,34.17678314185302,13.64534151653319,15.324362130902609,10.452312350307304,12.30471668543388,1.8524043351265755,0.0217391304347825,0.0625057563718594
A05,4,Tongue,Cz,Mu,0.0,2.0,3.25,4.0,69,5.007557785270142,3.374288155277016,3.030309975200302,2.1383145048867545,-32.61609151664916,-29.43578305893584,3.180308457713324,0.0217391304347825,0.0625057563718594
