Subject,Channel,Window_Start_s,Window_End_s,Window_Center_s,Raw_Four_Class_D,Clean_Four_Class_D,Delta_Four_Class_D,Raw_Hand_vs_NonHand_D,Clean_Hand_vs_NonHand_D,Delta_Hand_vs_NonHand_D,Raw_Left_vs_Right_D,Clean_Left_vs_Right_D,Delta_Left_vs_Right_D,Raw_Left_vs_Others_D,Clean_Left_vs_Others_D,Delta_Left_vs_Others_D,Raw_Right_vs_Others_D,Clean_Right_vs_Others_D,Delta_Right_vs_Others_D,Delta_Accuracy,Delta_F1
A07,C4,3.4000000000000004,3.9,3.65,0.0213410377022462,0.0256819467977935,0.0043409090955472,0.0167617154307018,0.0212397109788169,0.004477995548115,0.0122843722675697,0.0126904847329239,0.0004061124653541,0.016776269067362,0.0190594934114395,0.0022832243440775,0.0003519876941676,0.0008219673700276,0.00046997967586,0.0613718411552346,0.0659035397796197
A07,C4,3.5,4.0,3.75,0.0078028247520519,0.0088125315881392,0.0010097068360872,0.0034014693391426,0.0080514744331836,0.0046500050940409,0.0065946551587106,0.0003998617416512,-0.0061947934170594,0.0062359795205035,0.0038883794366889,-0.0023476000838145,0.0001479719716029,0.0016419685392541,0.0014939965676511,0.0613718411552346,0.0659035397796197
A08,C3,0.0,0.5,0.25,0.0012927835621013,0.0028044187537895,0.0015116351916881,0.0001444066672141,0.0001610187065995,1.6612039385421244e-05,1.2506645590876087e-05,1.5701547581686564e-09,-1.2505075436117918e-05,8.020834150463329e-05,5.335450063068959e-05,-2.68538408739437e-05,2.4909487685481383e-05,5.477722524962094e-05,2.9867737564139555e-05,0.0,-0.0021923887083538
A08,C3,0.1,0.6,0.35,0.0100787030428215,0.0022098690370731,-0.0078688340057483,0.0059487621438128,0.0009418445738183,-0.0050069175699945,0.0047068340608793,5.645249558684433e-05,-0.0046503815652925,0.0068495756959249,0.000176821234632,-0.0066727544612929,4.934663364049263e-05,0.0004935852621091,0.0004442386284686,0.0,-0.0021923887083538
A08,C3,0.2,0.7,0.4499999999999999,0.0122349303353195,0.0023185011672675,-0.0099164291680519,0.0115779265964679,0.0011796785714191,-0.0103982480250488,3.169251623243756e-05,0.0005621181929589,0.0005304256767265,0.0042349131823804,0.0011879963552234,-0.003046916827157,0.0035030917410152,3.0055536429159115e-05,-0.003473036204586,0.0,-0.0021923887083538
A08,C3,0.3,0.8,0.55,0.0197381634703331,0.0060194103414349,-0.0137187531288982,0.0104100709937343,0.0027280461779871,-0.0076820248157471,0.0094490634683206,0.0026946175039434,-0.0067544459643771,1.6773675317274373e-06,1.5091676676524386e-05,1.3414309144796948e-05,0.0142024698737049,0.0041124912389282,-0.0100899786347766,0.0,-0.0021923887083538
A08,C3,0.4,0.9,0.65,0.0104822449622838,0.0080948784303074,-0.0023873665319763,0.0047974775527048,0.0042748703180562,-0.0005226072346485,0.0036623909478533,0.0063553428614423,0.002692951913589,4.69010067547829e-06,0.0001497196020937,0.0001450295014182,0.0060489918650696,0.0076891224747609,0.0016401306096912,0.0,-0.0021923887083538
A08,C3,0.5,1.0,0.75,0.0116223908293042,0.0050014339404004,-0.0066209568889037,6.964685631523082e-05,0.0033516950067264,0.0032820481504112,0.0069837834952583,0.0020543406349519,-0.0049294428603064,0.0030881082849652,0.0037062451122203,0.0006181368272551,0.0020570311683442,4.214893934802856e-05,-0.0020148822289962,0.0,-0.0021923887083538
A08,C3,0.6000000000000001,1.1,0.8500000000000001,0.0161413712767216,0.0031772736635717,-0.0129640976131498,0.0067753039367097,0.0009959324058861,-0.0057793715308236,0.0155274316197942,0.0011877955618187,-0.0143396360579754,0.0005793311524163,4.949681994894178e-06,-0.0005743814704214,0.0142242240507391,0.0014904874786572,-0.0127337365720819,0.0,-0.0021923887083538
A08,C3,0.7000000000000001,1.2000000000000002,0.9500000000000002,0.0198029956279776,0.0108100988329667,-0.0089928967950109,0.0117071566212573,0.0084667071606927,-0.0032404494605646,0.0140511652765696,0.0017511935101272,-0.0122999717664424,3.087112498370571e-06,0.0009020167951744,0.000898929682676,0.0151879026511674,0.0058012125195472,-0.0093866901316201,0.0,-0.0021923887083538
A08,C3,0.8,1.3,1.05,0.0059649071406524,0.0042924787944064,-0.0016724283462459,0.0028964422538658,0.0037976324187161,0.0009011901648502,0.0006821043658038,0.0002677518238452,-0.0004143525419585,0.0002694565729139,0.0020062611631528,0.0017368045902389,0.0020952031011414,0.0007097722762507,-0.0013854308248906,0.0,-0.0021923887083538
A08,C3,0.9,1.4,1.15,0.0101323057888234,0.0130847019245918,0.0029523961357683,3.128603671068043e-05,0.0031893963144386,0.0031581102777279,0.0194083968266361,0.01954103389365,0.0001326370670139,0.0061739851964535,0.0129554491657242,0.0067814639692706,0.0071065197162327,0.0022082166595728,-0.0048983030566599,0.0,-0.0021923887083538
A08,C3,1.0,1.5,1.25,0.0197575171256529,0.012274390935781,-0.0074831261898718,2.8372100929279696e-05,0.0030205578571435,0.0029921857562142,0.0259377314691533,0.0072274824137315,-0.0187102490554218,0.0087992052270711,0.0063864884918181,-0.002412716735253,0.0075070728002883,0.0002428650875428,-0.0072642077127455,0.0,-0.0021923887083538
A08,C3,1.1,1.6,1.35,0.0253254455842663,0.0086617843671894,-0.0166636612170769,0.0007040022100655,0.0025111746588263,0.0018071724487608,0.0005768246663613,0.000438898538822,-0.0001379261275392,8.193662168248442e-07,0.0017133820410683,0.0017125626748515,0.0008823553184984,0.0002813776100969,-0.0006009777084015,0.0,-0.0021923887083538
A08,C3,1.2000000000000002,1.7000000000000002,1.4500000000000002,0.0218616526733524,0.0124389182185263,-0.0094227344548261,0.0136268559388591,0.0095811421851149,-0.0040457137537442,0.003338531676027,0.002104347554142,-0.001234184121885,0.0010231854263897,0.0007630104678435,-0.0002601749585461,0.0105257883378392,0.0072787665928088,-0.0032470217450304,0.0,-0.0021923887083538
