Subject,Condition,Accuracy,Macro_F1,Best_Validation_Accuracy,Inference_ms,Training_Trials,Validation_Trials,Test_Trials,Raw_Accuracy,Raw_Macro_F1,Accuracy_Change,F1_Change,Dominant_Band,Theta_Absolute_Power,Theta_Relative_Power,Alpha_Mu_Absolute_Power,Alpha_Mu_Relative_Power,Beta_Absolute_Power,Beta_Relative_Power,Gamma_Absolute_Power,Gamma_Relative_Power
A02,Beta_Clean,0.3321554770318021,0.319542097687259,0.4629629629629629,25.183916091918945,216,54,283,0.342756183745583,0.3286963549329631,-0.0106007067137808,-0.0091542572457041,Alpha_Mu,7.196387542485316,23.88314482117224,10.79407939055366,35.82305146490096,10.311418134288902,34.221210455799465,1.829773038709184,6.0725932581273305
A02,Gamma_Clean,0.342756183745583,0.3278443522492962,0.4259259259259259,37.01162338256836,216,54,283,0.342756183745583,0.3286963549329631,0.0,-0.0008520026836669,Alpha_Mu,7.196387542485316,23.88314482117224,10.79407939055366,35.82305146490096,10.311418134288902,34.221210455799465,1.829773038709184,6.0725932581273305
A03,Raw,0.6923076923076923,0.6770762367227954,0.8518518518518519,33.971309661865234,216,54,273,0.6923076923076923,0.6770762367227954,0.0,0.0,Beta,8.794111452638086,14.257463295457743,15.81836845332854,25.645548027447752,28.870683514863728,46.806628815747686,8.197594722448786,13.290359861346827
A03,All_Clean,0.7032967032967034,0.6755924093026737,0.8518518518518519,25.762319564819336,216,54,273,0.6923076923076923,0.6770762367227954,0.010989010989011,-0.0014838274201216,Beta,8.794111452638086,14.257463295457743,15.81836845332854,25.645548027447752,28.870683514863728,46.806628815747686,8.197594722448786,13.290359861346827
A03,Theta_Clean,0.6556776556776557,0.624146103939099,0.8518518518518519,29.331445693969727,216,54,273,0.6923076923076923,0.6770762367227954,-0.0366300366300366,-0.0529301327836964,Beta,8.794111452638086,14.257463295457743,15.81836845332854,25.645548027447752,28.870683514863728,46.806628815747686,8.197594722448786,13.290359861346827
A03,Alpha_Mu_Clean,0.652014652014652,0.6100306136506768,0.8148148148148148,28.969287872314453,216,54,273,0.6923076923076923,0.6770762367227954,-0.0402930402930402,-0.0670456230721185,Beta,8.794111452638086,14.257463295457743,15.81836845332854,25.645548027447752,28.870683514863728,46.806628815747686,8.197594722448786,13.290359861346827
A03,Beta_Clean,0.706959706959707,0.6855310561832673,0.7962962962962963,29.41441535949707,216,54,273,0.6923076923076923,0.6770762367227954,0.0146520146520147,0.0084548194604718,Beta,8.794111452638086,14.257463295457743,15.81836845332854,25.645548027447752,28.870683514863728,46.806628815747686,8.197594722448786,13.290359861346827
A03,Gamma_Clean,0.706959706959707,0.6941171861644538,0.8333333333333334,26.69572830200196,216,54,273,0.6923076923076923,0.6770762367227954,0.0146520146520147,0.0170409494416584,Beta,8.794111452638086,14.257463295457743,15.81836845332854,25.645548027447752,28.870683514863728,46.806628815747686,8.197594722448786,13.290359861346827
A04,Raw,0.4385964912280701,0.4330969183721477,0.3962264150943396,20.96390724182129,209,53,228,0.4385964912280701,0.4330969183721477,0.0,0.0,Beta,7.195527871910438,30.21805119478501,6.031690354643459,25.330445684079432,9.42792239157459,39.59312597498433,1.1568776537587198,4.858377146151216
A04,All_Clean,0.5087719298245614,0.5089476408412336,0.5660377358490566,20.932674407958984,209,53,228,0.4385964912280701,0.4330969183721477,0.0701754385964913,0.0758507224690858,Beta,7.195527871910438,30.21805119478501,6.031690354643459,25.330445684079432,9.42792239157459,39.59312597498433,1.1568776537587198,4.858377146151216
