Subject,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A04,8,1.984,2.484,0.1751203007401659,0.1613692682893996,0.2168917261194745,0.2091309126542663,0.2429687885554371
A04,9,2.232,2.732,0.165105319238059,0.1564298581633618,0.1951947158249155,0.217139777345289,0.2495775016216541
A04,10,2.48,2.98,0.1935109686333087,0.1623147963789538,0.2183774778042587,0.2344915039115853,0.2925733036975592
A04,11,2.728,3.228,0.2034286679465718,0.1609766818018845,0.2361783311096693,0.2449389723746504,0.2950609200803621
A04,12,2.976,3.476,0.1992250875065833,0.1500283924842044,0.2471111900999453,0.2401524299747023,0.3036525326472817
A04,13,3.224,3.724,0.1985900863429683,0.1566222957733685,0.2526335290020737,0.224477196362386,0.2815997611504995
A04,14,3.472,3.972,0.2015175784183603,0.1708924765825555,0.2507188267798189,0.2246566855303046,0.2647683289673626
A05,0,0.0,0.5,0.3540437037381974,0.2858736467871042,0.3541476155975511,0.4442563530694641,0.3543045059252748
A05,1,0.248,0.748,0.3864579130506723,0.2785469235945967,0.420839220315696,0.527209379820902,0.4309818174343646
A05,2,0.496,0.996,0.4100385304846174,0.2588779275111936,0.4107615334077863,0.5511526780399673,0.4761875779404027
A05,3,0.744,1.244,0.4029185634802545,0.2438190657576354,0.4094595298455824,0.5373738096799685,0.4843202521795686
A05,4,0.992,1.492,0.3972184130619333,0.2257756448286699,0.4053082421629904,0.5454742890679687,0.4711423211270364
A05,5,1.24,1.74,0.3914319305809455,0.2078778053857605,0.4091455608544651,0.5448118024090913,0.4623268378502288
A05,6,1.488,1.988,0.3830445921609123,0.1884593704758241,0.4264599089928835,0.5420901325614194,0.4507704324915377
A05,7,1.736,2.236,0.3213153066481834,0.1479534875023464,0.3719049950076672,0.4842275972165082,0.3838102753111247
A05,8,1.984,2.484,0.2828386190666926,0.1280613353881018,0.349243628459908,0.4958997514146718,0.3690338484711049
A05,9,2.232,2.732,0.321769003623722,0.1495811457308198,0.35567393299069,0.5531345337959079,0.4471956613419506
A05,10,2.48,2.98,0.3761174974614743,0.2090392254684804,0.3645395116723484,0.5279593215461726,0.465345300409427
A05,11,2.728,3.228,0.3738415990105856,0.2084187648159702,0.3890015653296794,0.5203901095247591,0.4479268493053394
A05,12,2.976,3.476,0.381237508023439,0.2003822807703385,0.4083629256882828,0.5324911277108669,0.4525537231646608
A05,13,3.224,3.724,0.3710852418769119,0.1896903511736656,0.3964711611021927,0.5449015485264042,0.4471572126590932
A05,14,3.472,3.972,0.3749427661122844,0.1924030896951479,0.3885228197221611,0.5451114445089292,0.4369772531965079
A06,0,0.0,0.5,0.2653962374662699,0.3257663305510714,0.2955668389952368,0.2249315865834472,0.2372679402317859
A06,1,0.248,0.748,0.2515501194377438,0.2882400483981331,0.260093878754837,0.2517521664166746,0.2783404568814896
A06,2,0.496,0.996,0.2533838477782499,0.2682110700045377,0.2728886850790349,0.2761561188271018,0.3433520866482374
A06,3,0.744,1.244,0.2508184198564672,0.2680411359293773,0.2681078254540169,0.2779952529083356,0.3349014340452833
