Subject,Channel_Index,Channel,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Delta_Accuracy,Delta_F1
A06,16,CP2,0.0513893683664156,0.0476779284619858,-0.0037114399044297,0.0,0.0024605276447511
A06,17,CP4,0.0603784843498516,0.058436013000776,-0.0019424713490756,0.0,0.0024605276447511
A06,18,P1,0.0450204583596051,0.0411595705275562,-0.0038608878320489,0.0,0.0024605276447511
A06,19,Pz,0.0358993551403944,0.0322503154225515,-0.0036490397178429,0.0,0.0024605276447511
A06,20,P2,0.0438481727834659,0.0391062078175954,-0.0047419649658704,0.0,0.0024605276447511
A06,21,POz,0.019624193936522,0.0172961266284337,-0.0023280673080882,0.0,0.0024605276447511
A07,0,Fz,0.0568102804633181,0.0385862089699421,-0.0182240714933759,0.0613718411552346,0.0659035397796197
A07,1,FC3,0.0335908129481023,0.0277024484229463,-0.005888364525156,0.0613718411552346,0.0659035397796197
A07,2,FC1,0.0395717808299354,0.0353630833237989,-0.0042086975061364,0.0613718411552346,0.0659035397796197
A07,3,FCz,0.0385834957301904,0.0315849382839509,-0.0069985574462394,0.0613718411552346,0.0659035397796197
A07,4,FC2,0.0416228421384111,0.0375959191712648,-0.0040269229671463,0.0613718411552346,0.0659035397796197
A07,5,FC4,0.0385641254380764,0.0407225375330886,0.0021584120950121,0.0613718411552346,0.0659035397796197
A07,6,C5,0.0336896845884816,0.0433824271132499,0.0096927425247682,0.0613718411552346,0.0659035397796197
A07,7,C3,0.0604603552076867,0.071280993249957,0.0108206380422703,0.0613718411552346,0.0659035397796197
A07,8,C1,0.0437919304037336,0.0488692085258083,0.0050772781220746,0.0613718411552346,0.0659035397796197
A07,9,Cz,0.0291236570229655,0.0313770084114799,0.0022533513885144,0.0613718411552346,0.0659035397796197
A07,10,C2,0.0397381932286199,0.0439355506615224,0.0041973574329024,0.0613718411552346,0.0659035397796197
A07,11,C4,0.0472242263118187,0.0603535431160244,0.0131293168042057,0.0613718411552346,0.0659035397796197
A07,12,C6,0.0187685074618688,0.0206650163250744,0.0018965088632055,0.0613718411552346,0.0659035397796197
A07,13,CP3,0.0627942331722996,0.072890141915503,0.0100959087432034,0.0613718411552346,0.0659035397796197
A07,14,CP1,0.0630992775786124,0.0723592023370986,0.0092599247584862,0.0613718411552346,0.0659035397796197
A07,15,CPz,0.0624590735571185,0.0723501065792304,0.0098910330221119,0.0613718411552346,0.0659035397796197
A07,16,CP2,0.0495021412243519,0.0585872371841863,0.0090850959598344,0.0613718411552346,0.0659035397796197
A07,17,CP4,0.0362844263489861,0.0445656171050817,0.0082811907560955,0.0613718411552346,0.0659035397796197
A07,18,P1,0.0623805426799762,0.0662584557055133,0.003877913025537,0.0613718411552346,0.0659035397796197
A07,19,Pz,0.059703229152231,0.0650601384350407,0.0053569092828096,0.0613718411552346,0.0659035397796197
A07,20,P2,0.0407919376740635,0.0445755181680203,0.0037835804939568,0.0613718411552346,0.0659035397796197
A07,21,POz,0.0201289536392515,0.0205775667869051,0.0004486131476536,0.0613718411552346,0.0659035397796197
A08,0,Fz,0.0167693129463608,0.0107523236576765,-0.0060169892886843,0.0,-0.0021923887083538
A08,1,FC3,0.0184015417560805,0.020080692623006,0.0016791508669255,0.0,-0.0021923887083538
A08,2,FC1,0.0188968809664699,0.0180198672557974,-0.0008770137106725,0.0,-0.0021923887083538
A08,3,FCz,0.0194503946129879,0.0164200039406137,-0.0030303906723742,0.0,-0.0021923887083538
A08,4,FC2,0.0188650172780908,0.0191395898876735,0.0002745726095827,0.0,-0.0021923887083538
A08,5,FC4,0.0175086403472439,0.0212812370775583,0.0037725967303144,0.0,-0.0021923887083538
A08,6,C5,0.0095604762910232,0.0208961537819314,0.0113356774909082,0.0,-0.0021923887083538
A08,7,C3,0.017690459100007,0.0361036611624751,0.0184132020624681,0.0,-0.0021923887083538
A08,8,C1,0.025597227435024,0.0443635361355965,0.0187663087005725,0.0,-0.0021923887083538
A08,9,Cz,0.0382883661116972,0.0584113093066066,0.0201229431949093,0.0,-0.0021923887083538
A08,10,C2,0.0447828709408226,0.0842312549780095,0.0394483840371869,0.0,-0.0021923887083538
A08,11,C4,0.0549880259380672,0.1323397544727339,0.0773517285346667,0.0,-0.0021923887083538
A08,12,C6,0.0348398803506653,0.1150691086153702,0.0802292282647048,0.0,-0.0021923887083538
A08,13,CP3,0.0475500525229501,0.0873975813162139,0.0398475287932638,0.0,-0.0021923887083538
A08,14,CP1,0.0600342019928707,0.0886664582676007,0.02863225627473,0.0,-0.0021923887083538
A08,15,CPz,0.0805673539621906,0.1046674633044936,0.0241001093423029,0.0,-0.0021923887083538
A08,16,CP2,0.0916908364955824,0.13240338319637,0.0407125467007876,0.0,-0.0021923887083538
A08,17,CP4,0.1084176508082471,0.1644324565138451,0.056014805705598,0.0,-0.0021923887083538
A08,18,P1,0.0745833707731226,0.0961178797668992,0.0215345089937766,0.0,-0.0021923887083538
A08,19,Pz,0.0900760092288567,0.10985483768566,0.0197788284568033,0.0,-0.0021923887083538
A08,20,P2,0.0929445945648901,0.1211581508989168,0.0282135563340267,0.0,-0.0021923887083538
A08,21,POz,0.0649824632190085,0.0849862640170433,0.0200038007980347,0.0,-0.0021923887083538
A09,0,Fz,0.0437737883867957,0.0262984916092324,-0.0174752967775632,-0.0189393939393939,-0.0152709976238667
A09,1,FC3,0.1028237948164047,0.1061416475931871,0.0033178527767823,-0.0189393939393939,-0.0152709976238667
A09,2,FC1,0.0774075711403604,0.0751474817641605,-0.0022600893761998,-0.0189393939393939,-0.0152709976238667
A09,3,FCz,0.0560081668380585,0.0489420500065323,-0.0070661168315261,-0.0189393939393939,-0.0152709976238667
A09,4,FC2,0.0533740982186859,0.0487320201431259,-0.0046420780755599,-0.0189393939393939,-0.0152709976238667
A09,5,FC4,0.0590159645035265,0.0592931033846968,0.0002771388811703,-0.0189393939393939,-0.0152709976238667
A09,6,C5,0.1647284564801268,0.1658031511468864,0.0010746946667595,-0.0189393939393939,-0.0152709976238667
A09,7,C3,0.2418024440718044,0.2516223952848111,0.0098199512130067,-0.0189393939393939,-0.0152709976238667
A09,8,C1,0.1720744259559614,0.1884615383433213,0.0163871123873599,-0.0189393939393939,-0.0152709976238667
A09,9,Cz,0.1171456038657453,0.1195203116689606,0.0023747078032153,-0.0189393939393939,-0.0152709976238667
A09,10,C2,0.1243419595756493,0.1279321463853195,0.0035901868096702,-0.0189393939393939,-0.0152709976238667
A09,11,C4,0.2326948408167209,0.2575387656933643,0.0248439248766433,-0.0189393939393939,-0.0152709976238667
A09,12,C6,0.1883153969630946,0.2186620229535215,0.0303466259904269,-0.0189393939393939,-0.0152709976238667
A09,13,CP3,0.2718115050827878,0.273266723171288,0.0014552180885001,-0.0189393939393939,-0.0152709976238667
A09,14,CP1,0.2262008306942256,0.2327474434234899,0.0065466127292643,-0.0189393939393939,-0.0152709976238667
A09,15,CPz,0.188261737065204,0.187209150522445,-0.001052586542759,-0.0189393939393939,-0.0152709976238667
A09,16,CP2,0.1751813623435575,0.1697762123921793,-0.0054051499513781,-0.0189393939393939,-0.0152709976238667
A09,17,CP4,0.2364947216499038,0.2436807526355499,0.007186030985646,-0.0189393939393939,-0.0152709976238667
A09,18,P1,0.1874434834913361,0.1925529416239556,0.0051094581326195,-0.0189393939393939,-0.0152709976238667
A09,19,Pz,0.1631774809044679,0.1600541501505417,-0.0031233307539261,-0.0189393939393939,-0.0152709976238667
A09,20,P2,0.1464136143022229,0.1395153337445514,-0.0068982805576714,-0.0189393939393939,-0.0152709976238667
A09,21,POz,0.1100075644933355,0.1130201392240381,0.0030125747307025,-0.0189393939393939,-0.0152709976238667
