Subject,Class_ID,Class,N_Trials,Raw_C3_Normalized_Beta,Clean_C3_Normalized_Beta,Raw_Cz_Normalized_Beta,Clean_Cz_Normalized_Beta,Raw_C4_Normalized_Beta,Clean_C4_Normalized_Beta,Raw_C3_minus_C4,Clean_C3_minus_C4,Delta_C3_minus_C4,Raw_Expected_Hand_Lateralization,Clean_Expected_Hand_Lateralization,Delta_Expected_Hand_Lateralization,Delta_Accuracy,Delta_F1
A07,3,Feet,71,-0.1834632436965796,-0.1879320232772486,-0.3532141216861162,-0.3899057994087138,-0.1861418405287352,-0.200625781664647,0.0026785968321556,0.0126937583873984,0.0100151615552428,,,,0.0613718411552346,0.0659035397796197
A07,4,Tongue,66,-0.0759232897527393,-0.1111299694360248,-0.2150772401530063,-0.2560067585596815,-0.0705061339609264,-0.1168353955484594,-0.0054171557918128,0.0057054261124345,0.0111225819042474,,,,0.0613718411552346,0.0659035397796197
A08,1,Left_Hand,66,0.0131599266439399,-0.1948885401843374,0.0261521915992392,-0.206848767410126,0.0449275838689583,-0.1948081727179986,-0.0317676572250184,-8.036746633881222e-05,0.0316872897586796,-0.0317676572250184,-8.036746633881222e-05,0.0316872897586796,0.0,-0.0021923887083538
A08,2,Right_Hand,68,0.0132141674861654,-0.0744887996703654,-0.0078223009959567,-0.0931318405307282,0.0431340115228123,-0.013698524566186,-0.0299198440366468,-0.0607902751041793,-0.0308704310675325,0.0299198440366468,0.0607902751041793,0.0308704310675325,0.0,-0.0021923887083538
A08,3,Feet,69,0.0133641477796491,-0.1013271545760669,-0.0011192621859985,-0.0774201609017677,0.0369502149620744,-0.0336207265486892,-0.0235860671824252,-0.0677064280273777,-0.0441203608449524,,,,0.0,-0.0021923887083538
A08,4,Tongue,68,-0.016846521821151,-0.0087778089342502,-0.0298147034471569,0.0023237324077419,-0.0857493511747672,-0.1709194923586206,0.0689028293536162,0.1621416834243703,0.0932388540707541,,,,0.0,-0.0021923887083538
A09,1,Left_Hand,65,-0.3888816804011437,-0.4140061138418283,-0.3415372253538419,-0.3318040416186704,-0.4708615382032385,-0.5306538742595506,0.0819798578020948,0.1166477604177222,0.0346679026156273,0.0819798578020948,0.1166477604177222,0.0346679026156273,-0.0189393939393939,-0.0152709976238667
A09,2,Right_Hand,65,-0.059096165346464,-0.041518065449967,-0.0278134921128744,-0.0814622809673061,-0.0440337463974737,0.000605725962441,-0.0150624189489903,-0.042123791412408,-0.0270613724634177,0.0150624189489903,0.042123791412408,0.0270613724634177,-0.0189393939393939,-0.0152709976238667
A09,3,Feet,69,0.0112205595660655,0.0471404396018511,-0.1204605695689605,-0.1291060323704419,-0.156130524070391,-0.0846543068041369,0.1673510836364566,0.131794746405988,-0.0355563372304686,,,,-0.0189393939393939,-0.0152709976238667
A09,4,Tongue,65,0.2358544840329537,0.3593300510518322,-0.0130863236789687,0.0104584056432648,0.0692496078823101,0.0518826023089955,0.1666048761506436,0.3074474487428365,0.1408425725921929,,,,-0.0189393939393939,-0.0152709976238667
