Subject,Channel,Window_Start_s,Window_End_s,Window_Center_s,Raw_Beta_Power,Clean_Beta_Power,Delta_Beta_Power,Delta_Beta_Percent,Hand_Raw_Beta,Hand_Clean_Beta,Hand_Delta_Beta_Percent,NonHand_Raw_Beta,NonHand_Clean_Beta,NonHand_Delta_Beta_Percent,Delta_Accuracy,Delta_F1
A03,Cz,3.3000000000000003,3.8000000000000003,3.5500000000000003,20.697503578042618,7.450755256882911,-13.246748321159707,-64.0016718499945,19.999479567753543,6.899307584618558,-65.50256439801184,21.400660117819115,8.006257691443329,-62.588734892448606,-0.00366300366300365,-0.001569319265132707
A03,Cz,3.4000000000000004,3.9000000000000004,3.6500000000000004,23.613278358092536,8.112973689145498,-15.500304668947038,-65.64232392422083,22.962518714950594,7.46830343731012,-67.47611387923396,24.26882299861052,8.762384163420844,-63.89448238209772,-0.00366300366300365,-0.001569319265132707
A03,Cz,3.5,4.0,3.75,21.81075979678531,7.2746802622947655,-14.536079534490543,-66.6463693604705,21.243906618587904,6.793485474008569,-68.02148683865691,22.381781013057694,7.759413247553656,-65.33156479805268,-0.00366300366300365,-0.001569319265132707
A03,C4,0.0,0.5,0.25,23.094312572944432,9.897043201470382,-13.19726937147405,-57.14510587743141,22.838070595278634,9.936296139332658,-56.49240115149302,23.352438682798955,9.857501639065003,-57.78812751438296,-0.00366300366300365,-0.001569319265132707
A03,C4,0.1,0.6,0.35,25.937591694622846,10.453622722226863,-15.483968972395983,-59.6970187313342,26.863075977559078,10.947121131416756,-59.248445187134266,25.005302380194433,9.956495648263516,-60.18246251583182,-0.00366300366300365,-0.001569319265132707
A03,C4,0.2,0.7,0.44999999999999996,26.43265397040996,10.488613027843373,-15.944040942566586,-60.31948574068705,27.792768855129264,11.210019355917447,-59.66569788584199,25.062538240950076,9.761902241474635,-61.04982604864615,-0.00366300366300365,-0.001569319265132707
A03,C4,0.30000000000000004,0.8,0.55,23.164359230212483,9.511179320786537,-13.653179909425946,-58.94046009966281,24.06736495337389,9.897378506902392,-58.87635174820032,22.25471375908666,9.122140434772772,-59.01029986940103,-0.00366300366300365,-0.001569319265132707
A03,C4,0.4,0.9,0.65,23.293587889679124,9.793788603498488,-13.499799286180636,-57.95500182332195,23.68969346308117,9.911590972746543,-58.160746198792715,22.894569775296183,9.6751200403589,-57.74054662167708,-0.00366300366300365,-0.001569319265132707
A03,C4,0.5,1.0,0.75,26.994920845475416,10.808770736075013,-16.1861501094004,-59.959983591184866,26.5435941057251,10.717359750155515,-59.623554717317184,27.449566164194486,10.900853861596866,-60.28770073672036,-0.00366300366300365,-0.001569319265132707
A03,C4,0.6000000000000001,1.1,0.8500000000000001,27.507417526869315,10.655058857720089,-16.852358669149226,-61.26477940972757,26.686528771349874,10.685078835180901,-59.96077673971526,28.334342229120512,10.62481814513089,-62.50197707356243,-0.00366300366300365,-0.001569319265132707
